userId,locationId,rating
1,1,5
1,7,5
1,12,1
1,16,3
1,20,1
1,21,4
1,22,5
1,26,4
1,30,5
1,34,4
2,3,1
2,8,1
2,11,3
2,15,1
2,23,4
2,36,3
2,3,3
2,15,5
2,14,5
3,18,4
3,27,5
3,33,5
3,40,5
3,24,5
3,25,5
3,15,3
4,2,1
4,9,5
4,12,5
4,19,5
4,30,3
4,13,2
4,25,5
4,3,4
4,18,1
5,4,2
5,5,3
5,16,4
5,25,1
5,26,2
5,27,2
5,32,5
5,37,2
6,1,4
6,6,4
6,6,2
6,10,2
6,32,2
6,30,3
7,4,1
7,5,3
7,6,5
7,7,2
7,14,4
7,14,5
7,17,4
7,18,5
7,24,4
8,2,1
8,5,3
8,19,2
8,25,2
8,29,4
8,30,4
8,40,4
8,20,5
9,1,4
9,5,1
9,7,3
9,7,1
9,14,3
9,17,1
9,18,4
9,32,2
10,9,2
10,19,1
10,21,2
10,22,4
10,24,4
10,28,2
10,28,5
10,36,3
10,32,1
10,15,1
11,2,1
11,4,2
11,8,1
11,9,4
11,18,5
11,26,1
11,28,4
11,30,3
11,30,2
12,10,3
12,11,2
12,13,1
12,17,3
12,23,1
12,34,4
12,35,5
12,37,2
12,39,3
12,40,2
13,14,2
13,16,5
13,21,4
13,29,1
14,11,2
14,12,3
14,13,5
14,24,4
14,27,3
14,33,4
14,37,1
14,23,2
15,2,2
15,6,3
15,7,2
15,8,3
15,10,5
15,16,1
15,19,2
15,20,4
15,36,1
15,38,3
16,3,2
16,3,3
16,3,4
16,12,2
16,23,2
16,26,5
16,31,3
16,33,2
16,34,2
16,35,1
17,10,1
17,15,3
17,17,3
17,23,1
17,24,5
17,28,2
17,29,2
17,31,3
17,36,1
18,15,2
18,21,5
18,21,2
18,28,2
18,33,1
18,35,1
18,37,2
18,38,5
18,40,1
19,8,1
19,25,4
19,29,3
19,39,4
19,7,2
19,26,2
19,17,1
19,11,2
19,13,5
20,1,2
20,3,2
20,11,1
20,13,1
20,15,5
20,22,1
20,25,4
20,25,1
20,38,4
